Power Level (dBm),Average Charge Time (min),Std Dev (min),Number of Sequences
14,56.6342857142857,2.4264957516247634,7
16,21.3475,12.509105933279159,4
18,14.351666666666667,10.165371228943004,3
20,10.2375,0.07250000000000068,2
